Index,orig_lang
901,English
902,Portuguese
903,English
904,English
905,English
906,Spanish
906,Castilian
907,English
908,English
909,English
910,English
911,English
912,Cantonese
913,English
914,English
915,English
916,English
917,English
918,English
919,English
920,Spanish
920,Castilian
921,Korean
922,English
923,English
924,Spanish
924,Castilian
925,English
926,English
927,English
928,English
929,Japanese
930,Spanish
930,Castilian
931,Spanish
931,Castilian
932,Chinese
933,English
934,English
935,Korean
936,English
937,English
938,English
939,English
940,Japanese
941,English
942,English
943,English
944,English
945,English
946,English
947,Russian
948,Japanese
949,English
950,English
951,English
952,Korean
953,English
954,English
955,Spanish
955,Castilian
956,English
957,Italian
958,English
959,English
960,English
961,English
962,English
963,English
964,English
965,English
966,Japanese
967,English
968,English
969,English
970,Polish
971,English
972,English
973,English
974,English
975,Japanese
976,Korean
977,Japanese
978,English
979,English
980,English
981,Japanese
982,English
983,English
984,English
985,English
986,English
987,English
988,Japanese
989,English
990,English
991,English
992,English
993,Tamil
994,English
995,English
996,English
997,Japanese
998,English
999,English
1000,English
1001,Spanish
1001,Castilian
1002,English
1003,English
1004,English
1005,English
1006,Japanese
1007,Spanish
1007,Castilian
1008,Korean
1009,English
1010,English
1011,English
1012,English
1013,English
1014,Korean
1015,English
1016,English
1017,Japanese
1018,English
1019,English
1020,English
1021,English
1022,English
1023,Turkish
1024,English
1025,English
1026,English
1027,English
1028,English
1029,English
1030,English
1031,English
1032,English
1033,English
1034,Italian
1035,English
1036,French
1037,English
1038,English
1039,Japanese
1040,English
1041,English
1042,English
1043,Japanese
1044,Japanese
1045,English
1046,English
1047,English
1048,Russian
1049,English
1050,English
1051,English
1052,English
1053,Italian
1054,Chinese
1055,Korean
1056,English
1057,English
1058,English
1059,English
1060,English
1061,English
1062,English
1063,English
1064,English
1065,English
1066,English
1067,English
1068,English
1069,English
1070,English
1071,English
1072,English
1073,English
1074,English
1075,English
1076,English
1077,English
1078,English
1079,English
1080,English
1081,English
1082,English
1083,English
1084,English
1085,English
1086,English
1087,Japanese
1088,English
1089,English
1090,English
1091,English
1092,German
1093,Spanish
1093,Castilian
1094,English
1095,English
1096,Japanese
1097,English
1098,Korean
1099,Thai
1100,English
1101,English
1102,English
1103,English
1104,Japanese
1105,English
1106,French
1107,Portuguese
1108,English
1109,Chinese
1110,English
1111,English
1112,English
1113,English
1114,English
