index,Title,Date,Genre,orig_lang,Revenue($),Budget($),country,score
6077,More the Merrier,30-07-2021,"Comedy, Romance"," Spanish, Castilian",665608464,132000000,Spain,67
6078,Fiddler on the Roof,11-11-1971,"Drama, Romance", English,80501127,9000000,Australia,77
6079,LEGO Monkie Kid: A Hero Is Born,13-03-2021,"Animation, TV Movie, Action, Comedy, Fantasy", English,1119422067,97200000,Australia,62
6080,Blades of Glory,21-06-2007,Comedy, English,145594548,61000000,Australia,61
6081,One Piece: Episode of Luffy - Hand Island Adventure,15-12-2012,"Action, Animation, Adventure, Comedy, Drama", Japanese,233325357.6,91380000,Japan,68
6082,Cardcaptor Sakura: The Movie,21-08-1999,"Fantasy, Animation, Adventure, Action, Drama", Japanese,482909584.2,175400000,Japan,77
6083,The Social Dilemma,09-09-2020,"Documentary, Drama", English,343760949,129400000,Australia,75
6084,Rock Dog,24-02-2017,"Adventure, Animation, Comedy, Family, Music", English,24148488,60000000,United States,62
6085,Jackass: The Movie,21-10-2002,"Comedy, Documentary", English,79282312,2000000,United States,63
6086,"My Teacher, My Obsession",12-06-2018,"Drama, Thriller, TV Movie", English,338539980.8,149000000,United States,51
6087,Pitch Perfect 3,01-01-2018,"Comedy, Music", English,185736412,45000000,Australia,66
6088,"Planes, Trains and Automobiles",29-02-1988,Comedy, English,49500000,15000000,Australia,72
6089,Zambezia,07-07-2012,"Comedy, Animation, Adventure, Family", English,34454336,20000000,United States,60
6090,Rim of the World,24-05-2019,"Science Fiction, Adventure, Action, Comedy", English,714096155.4,103800000,United States,60
6091,Dreamland,13-11-2020,"Drama, Thriller", English,251792115.2,98400000,United States,61
6092,Just Say Yes,02-04-2021,"Comedy, Romance"," Dutch, Flemish",361535228,64600000,Netherlands,64
6093,6 Below: Miracle on the Mountain,13-10-2017,"Thriller, Drama", English,242414956.4,106000000,United States,58
6094,Young Frankenstein,28-08-1975,Comedy, English,86300489,2800000,Australia,79
6095,Ophelia,29-10-2018,"Drama, Romance, History", English,242115,12000000,Australia,72
6096,Lost Highway,27-03-1997,"Drama, Thriller, Mystery", English,3756869,15000000,Australia,76
6097,Fright Night,31-10-1985,"Comedy, Horror", English,40520649,30000000,Australia,70
6098,P.S. I Love You,15-11-2007,"Drama, Romance", English,156835339,30000000,Australia,72
6099,Blue Exorcist: The Movie,28-12-2012,"Animation, Fantasy, Mystery, Horror, Action", Japanese,462588501,128000000,Japan,73
6100,Bachelor Party,26-07-1984,Comedy, English,38435947,6000000,Australia,63
6101,A Close Shave,10-04-1996,"Family, Animation, Comedy", English,449460811.2,206800000,Australia,75
